driver,driver_id,team,circuit,lap,tire_compound,track_temperature,lap_time_seconds,position,pit_stop,race_year,round_number
VER,1,Red Bull Racing,Australian Grand Prix,1.0,INTERMEDIATE,19.2,119.392,2.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,5.0,INTERMEDIATE,19.0,143.609,2.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,6.0,INTERMEDIATE,19.0,139.654,2.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,7.0,INTERMEDIATE,19.0,136.447,2.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,8.0,INTERMEDIATE,19.1,96.83,2.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,9.0,INTERMEDIATE,19.1,94.315,2.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,10.0,INTERMEDIATE,19.1,92.65,2.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,11.0,INTERMEDIATE,19.1,92.453,2.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,12.0,INTERMEDIATE,19.3,91.591,2.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,13.0,INTERMEDIATE,19.3,91.271,2.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,14.0,INTERMEDIATE,19.3,90.639,2.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,15.0,INTERMEDIATE,19.3,90.328,2.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,16.0,INTERMEDIATE,19.3,90.592,2.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,17.0,INTERMEDIATE,19.3,93.392,3.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,18.0,INTERMEDIATE,19.4,92.169,3.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,19.0,INTERMEDIATE,19.4,91.939,3.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,20.0,INTERMEDIATE,19.4,91.598,3.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,21.0,INTERMEDIATE,19.4,91.177,3.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,22.0,INTERMEDIATE,19.2,91.04,3.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,23.0,INTERMEDIATE,19.2,90.686,3.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,24.0,INTERMEDIATE,19.2,90.978,3.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,25.0,INTERMEDIATE,19.2,90.845,3.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,26.0,INTERMEDIATE,19.2,90.293,3.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,27.0,INTERMEDIATE,19.2,89.731,3.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,28.0,INTERMEDIATE,19.1,89.411,3.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,29.0,INTERMEDIATE,19.1,89.043,3.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,30.0,INTERMEDIATE,19.1,88.237,3.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,31.0,INTERMEDIATE,19.1,88.127,3.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,32.0,INTERMEDIATE,19.1,88.208,3.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,33.0,INTERMEDIATE,19.1,88.046,3.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,34.0,INTERMEDIATE,19.0,128.598,3.0,1,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,35.0,MEDIUM,19.0,124.508,3.0,0,2025,1
VER,1,Red Bull Racing,Australian Grand Prix,36.0,MEDIUM,19.0,116.334,3.0,0,2025,1
