driver,driver_avg_lap_time,driver_consistency_score,driver_win_rate,driver_podium_rate,positions_gained_avg,driver_performance_score
COL,87.98413924050632,13.218976265722375,0.0,0.0,0.0,35.347794811425736
DOO,98.11909389671361,6.765505554371834,0.0,0.0,0.0,30.353499999999972
PIA,89.01127292899407,13.905173911168596,0.30434782608695654,0.6956521739130435,0.08695652173913043,3.7825104060323214
NOR,89.56931749460044,14.172219300697028,0.2916666666666667,0.8333333333333334,0.16666666666666666,2.7496840990895794
HAD,90.0249617737003,13.505109607266279,0.0,0.043478260869565216,-0.17391304347826086,2.015501414140171
RUS,90.17694357142858,13.950176220933502,0.08333333333333333,0.375,0.0,1.9989223677420114
VER,90.73937762762762,13.835344092144922,0.34782608695652173,0.6521739130434783,-0.08695652173913043,1.8754164716930484
LAW,90.41190784155214,13.437666694427604,0.0,0.0,0.0,1.7527870478458356
LEC,90.73773936170213,13.986210130106699,0.0,0.3333333333333333,0.041666666666666664,1.645373744593022
SAI,90.70370173985087,13.14062982595361,0.0,0.09090909090909091,-0.09090909090909091,1.6432955913256726
BOR,90.64013338926175,13.554099181037317,0.0,0.0,-0.17391304347826086,1.629964267423678
ALO,90.68200499168053,13.950080278269603,0.0,0.0,0.125,1.592677640139347
ANT,90.93080606544294,13.486824345620143,0.0,0.08695652173913043,-0.17391304347826086,1.5300317861100834
OCO,90.92014338235295,13.64344893345821,0.0,0.0,-0.25,1.5060447608302117
TSU,90.89461961367013,14.10276771953325,0.0,0.0,0.041666666666666664,1.4960023237124458
HAM,90.96376707132018,13.9742292559561,0.0,0.0,0.08333333333333333,1.4746717119607646
STR,91.04413019607843,13.968143395663263,0.0,0.0,-0.13636363636363635,1.445385944058855
BEA,91.04745195195196,14.182889503928156,0.0,0.0,0.16666666666666666,1.4353446579536207
HUL,91.34807536466774,14.114958051529053,0.0,0.043478260869565216,0.13043478260869565,1.3502582768114093
GAS,91.63746551724138,14.117928383761049,0.0,0.0,0.21739130434782608,1.2601577847504084
ALB,91.98070592885375,13.751192365003835,0.0,0.0,0.0,1.195986730091773
