driver,driver_performance_score,total_races,driver_avg_delta,pace_score,consistency_score,podium_rate,win_rate
NOR,0.7977910757656546,24,1.2581493880489565,1.0,0.28803930306261805,1.0,0.8385416666666667
PIA,0.7165027202839968,23,1.4122052514792904,0.9125497176162629,0.21310524599344483,0.8347826086956521,0.875
VER,0.5865209023349861,23,1.7866448948948954,0.6999979080113781,0.0,0.782608695652174,1.0
RUS,0.4427335278536924,24,1.8869903571428572,0.6430364992463091,0.23832571262067503,0.44999999999999996,0.23958333333333331
LEC,0.426608703564633,24,1.7454893617021283,0.7233599723899812,0.22905885843456186,0.39999999999999997,0.0
ANT,0.4061033428185037,23,2.0288786911412617,0.5624931521848737,0.6409460669086515,0.10434782608695652,0.0
HAM,0.3602685045680151,24,1.834083839150228,0.6730690461119331,0.3641635444929676,0.0,0.0
SAI,0.3391923809494476,22,2.4652725766362886,0.31477282744478985,0.7658602726133994,0.10909090909090909,0.0
HAD,0.33078825014720625,23,2.5308841743119266,0.277528203211598,0.8373687450154854,0.05217391304347826,0.0
LAW,0.3252423775210366,23,2.493452303961196,0.29877651898117663,0.8229270797142636,0.0,0.0
OCO,0.3163521924135852,24,2.672850735294118,0.19694045036339247,0.9503040490729129,0.0,0.0
COL,0.28202858649917173,17,2.878731742940605,0.08007146624792938,1.0,0.0,0.0
STR,0.258726591758743,22,2.606358823529412,0.2346847875835565,0.6594107069012818,0.0,0.0
BOR,0.21599236999000224,23,2.799991610738255,0.12476854328675424,0.6643398107012022,0.0,0.0
HUL,0.19254433185514108,23,2.9052621555915725,0.06501139630691521,0.6244199628947174,0.05217391304347826,0.0
ALO,0.1856829309542308,24,2.8196892678868557,0.11358710791917326,0.560992351146246,0.0,0.0
ALB,0.16685190375460585,24,2.6691996047430835,0.19901302579543523,0.34898677374572706,0.0,0.0
BEA,0.1303633551127193,24,2.847412912912913,0.0978496959684001,0.36489390690143697,0.0,0.0
TSU,0.10146503193491396,24,2.952979197622586,0.03792467135395161,0.3451806535733333,0.0,0.0
GAS,0.07256573822495249,23,3.0197887931034484,0.0,0.29026295289980997,0.0,0.0
