race_year,circuit,driver,driver_id,n_stops,pit_laps,compounds,final_position,total_laps,data_quality
2023,Abu Dhabi Grand Prix,ALB,23,2,"[16.0, 43.0]","['MEDIUM', 'HARD', 'HARD']",14.0,58.0,clean
2023,Abu Dhabi Grand Prix,ALO,14,2,"[12.0, 36.0]","['MEDIUM', 'HARD', 'HARD']",7.0,58.0,clean
2023,Abu Dhabi Grand Prix,BOT,77,1,[29.0],"['HARD', 'MEDIUM']",19.0,57.0,clean
2023,Abu Dhabi Grand Prix,GAS,10,2,"[17.0, 32.0]","['MEDIUM', 'HARD', 'HARD']",13.0,58.0,clean
2023,Abu Dhabi Grand Prix,HAM,44,2,"[15.0, 35.0]","['MEDIUM', 'HARD', 'HARD']",9.0,58.0,clean
2023,Abu Dhabi Grand Prix,HUL,27,2,"[13.0, 33.0]","['MEDIUM', 'HARD', 'HARD']",15.0,58.0,clean
2023,Abu Dhabi Grand Prix,LEC,16,2,"[17.0, 35.0]","['MEDIUM', 'HARD', 'HARD']",3.0,58.0,clean
2023,Abu Dhabi Grand Prix,MAG,20,2,"[5.0, 22.0]","['MEDIUM', 'HARD', 'HARD']",20.0,57.0,clean
2023,Abu Dhabi Grand Prix,NOR,4,2,"[14.0, 33.0]","['MEDIUM', 'HARD', 'HARD']",5.0,58.0,clean
2023,Abu Dhabi Grand Prix,OCO,31,1,[15.0],"['MEDIUM', 'HARD']",12.0,58.0,clean
2023,Abu Dhabi Grand Prix,PER,11,2,"[17.0, 42.0]","['MEDIUM', 'HARD', 'HARD']",2.0,58.0,clean
2023,Abu Dhabi Grand Prix,PIA,81,2,"[13.0, 36.0]","['MEDIUM', 'HARD', 'HARD']",6.0,58.0,clean
2023,Abu Dhabi Grand Prix,RIC,3,2,"[7.0, 31.0]","['MEDIUM', 'HARD', 'HARD']",11.0,58.0,clean
2023,Abu Dhabi Grand Prix,RUS,63,2,"[14.0, 34.0]","['MEDIUM', 'HARD', 'HARD']",4.0,58.0,clean
2023,Abu Dhabi Grand Prix,SAI,55,3,"[23.0, 56.0, 57.0]","['HARD', 'HARD', 'SOFT', 'UNKNOWN']",15.0,57.0,suspect
2023,Abu Dhabi Grand Prix,SAR,2,2,"[15.0, 41.0]","['MEDIUM', 'HARD', 'HARD']",16.0,58.0,clean
2023,Abu Dhabi Grand Prix,STR,18,2,"[22.0, 42.0]","['HARD', 'HARD', 'MEDIUM']",10.0,58.0,clean
2023,Abu Dhabi Grand Prix,TSU,22,1,[22.0],"['MEDIUM', 'HARD']",8.0,58.0,clean
2023,Abu Dhabi Grand Prix,VER,1,2,"[16.0, 43.0]","['MEDIUM', 'HARD', 'HARD']",1.0,58.0,clean
2023,Abu Dhabi Grand Prix,ZHO,24,2,"[13.0, 37.0]","['MEDIUM', 'HARD', 'MEDIUM']",17.0,58.0,clean
2023,Australian Grand Prix,ALB,23,0,[],['MEDIUM'],6.0,6.0,dnf
2023,Australian Grand Prix,ALO,14,0,[],['HARD'],3.0,54.0,dnf
2023,Australian Grand Prix,BOT,77,2,"[1.0, 53.0]","['SOFT', 'HARD', 'UNKNOWN']",14.0,53.0,suspect
2023,Australian Grand Prix,DEV,21,1,[45.0],"['MEDIUM', 'SOFT']",16.0,53.0,clean
2023,Australian Grand Prix,GAS,10,0,[],['HARD'],5.0,54.0,dnf
2023,Australian Grand Prix,HAM,44,1,[57.0],"['HARD', 'UNKNOWN']",2.0,57.0,suspect
2023,Australian Grand Prix,HUL,27,0,[],['HARD'],9.0,54.0,dnf
2023,Australian Grand Prix,MAG,20,1,[7.0],"['MEDIUM', 'HARD']",12.0,52.0,clean
2023,Australian Grand Prix,NOR,4,0,[],['HARD'],8.0,54.0,dnf
2023,Australian Grand Prix,OCO,31,1,[1.0],"['SOFT', 'HARD']",10.0,54.0,clean
2023,Australian Grand Prix,PER,11,2,"[1.0, 2.0]","['HARD', 'MEDIUM', 'HARD']",7.0,54.0,clean
2023,Australian Grand Prix,PIA,81,1,[54.0],"['HARD', 'UNKNOWN']",11.0,54.0,suspect
2023,Australian Grand Prix,RUS,63,1,[7.0],"['MEDIUM', 'HARD']",14.0,17.0,clean
2023,Australian Grand Prix,SAI,55,1,[7.0],"['MEDIUM', 'HARD']",4.0,54.0,clean
2023,Australian Grand Prix,SAR,2,3,"[1.0, 2.0, 36.0]","['HARD', 'MEDIUM', 'MEDIUM', 'HARD']",15.0,53.0,clean
2023,Australian Grand Prix,STR,18,0,[],['HARD'],6.0,54.0,dnf
2023,Australian Grand Prix,TSU,22,1,[54.0],"['HARD', 'UNKNOWN']",13.0,54.0,suspect
2023,Australian Grand Prix,VER,1,0,[],['HARD'],1.0,54.0,dnf
2023,Australian Grand Prix,ZHO,24,2,"[1.0, 54.0]","['SOFT', 'HARD', 'UNKNOWN']",12.0,54.0,suspect
