Feature,Gain
tire_cold_flag,50628.0703125
tire_age_laps,7093.650390625
compound_base_deg_rate,5507.4453125
adjusted_tire_stress,5312.79248046875
dirty_air_flag,4163.99658203125
fuel_load_estimate,3294.932861328125
laps_remaining_pct,3275.316650390625
laps_remaining,2974.629150390625
circuit,2968.140869140625
round_number,2832.384521484375
lap,2685.430908203125
track_temperature,2635.921630859375
tire_compound,2416.71484375
fuel_time_effect,2196.712158203125
pit_stop,2151.474609375
gap_to_leader_seconds,2149.517822265625
stint_number,2062.32275390625
stint_progress_pct,1918.9434814453125
driver_consistency_score,1661.77392578125
position,1275.8455810546875
driver_avg_lap_time,1203.750732421875
gap_to_car_ahead_seconds,1097.5557861328125
stint_length,1042.62890625
compound_interaction,1000.0484008789062
grid_position,873.9945068359375
team,758.637939453125
positions_gained,721.1838989257812
driver_win_rate,681.0440673828125
position_vs_grid,457.16314697265625
driver_podium_rate,440.8180847167969
driver_id,214.13095092773438
