Feature,Gain
circuit_baseline_pace,28891.34375
round_number,4198.65478515625
compound_base_deg_rate,870.5140991210938
track_temperature,729.7406005859375
stint_number,549.6937255859375
laps_remaining_pct,202.09779357910156
fuel_load_estimate,172.25933837890625
stint_length,121.70269012451172
gap_to_leader_seconds,103.41471862792969
grid_position,90.9862289428711
fuel_time_effect,74.76360321044922
tire_cold_flag,49.305816650390625
team,35.1666259765625
stint_progress_pct,27.044294357299805
adjusted_tire_stress,23.597061157226562
position_vs_grid,18.604442596435547
tire_age_laps,17.091476440429688
compound_interaction,15.9398832321167
gap_to_car_ahead_seconds,13.707432746887207
driver_id,13.490819931030273
tire_compound,11.712987899780273
dirty_air_flag,7.099936008453369
lap,4.168099880218506
